,Scheme Code,ISIN Div Payout/ ISIN Growth,ISIN Div Reinvestment,Scheme Name,Net Asset Value,Date
2231,130936,INF109KA1B81,-,ICICI Prudential Medium Term Bond Fund - Direct Plan Bonus,16.1701,2020-04-24
2232,102741,INF109K01AH4,-,ICICI Prudential Medium Term Bond Fund - Growth,45.035,2025-07-04
2233,117330,INF109K01B53,INF109K01B61,ICICI Prudential Medium Term Bond Fund - Half Yearly IDCW,10.6331,2022-09-16
2234,113137,INF109K01UF6,INF109K01IO3,ICICI Prudential Medium Term Bond Fund - Quarterly IDCW,10.917,2025-07-04
2235,132982,INF109KA10G7,INF109KA11G5,ICICI Prudential Medium Term Bond Fund -Direct Plan - Annual IDCW,14.3488,2022-09-16
2236,113080,INF109K01UD1,INF109K01IP0,ICICI Prudential Medium Term Bond Fund Plan A - Weekly Dividend,10.0458,2012-02-17
2237,117706,INF109K01B87,-,ICICI Prudential Medium Term Bond Fund Plan B - Half Yearly Dividend,10.8612,2020-01-06
2238,113138,INF109K01UI0,INF109K01IQ8,ICICI Prudential Medium Term Bond Fund Plan B - Quarterly Dividend,10.6002,2020-04-24
2239,113136,INF109K01UO8,INF109K01UN0,ICICI Prudential Medium Term Bond Fund Plan C - Quarterly Dividend,10.4491,2016-01-28
2240,102743,INF109K01AJ0,-,ICICI Prudential Medium Term Bond Fund-Plan B-Growth,32.0584,2020-04-24
2242,149013,INF205KA1411,INF205KA1445,Invesco India Medium Duration Fund - Direct - Discretionary IDCW (Payout/Reinvestment),1287.5378,2025-07-04
2243,149011,INF205KA1429,-,Invesco India Medium Duration Fund - Direct - Growth,1287.6316,2025-07-04
2244,149014,INF205KA1403,INF205KA1437,Invesco India Medium Duration Fund - Direct - Quarterly IDCW (Payout / Reinvestment)),1098.1362,2025-07-04
2245,149010,INF205KA1361,INF205KA1395,Invesco India Medium Duration Fund - Regular - Discretionary IDCW(Payout / Reinvestment)),1245.5367,2025-07-04
2246,149012,INF205KA1379,-,Invesco India Medium Duration Fund - Regular - Growth,1245.535,2025-07-04
2247,149009,INF205KA1353,INF205KA1387,Invesco India Medium Duration Fund - Regular - Quarterly IDCW (Payout / Reinvestment),1058.8695,2025-07-04
2249,128079,INF174K01VSI,INF174K01VU7,Kotak Medium Term Fund - Direct - Standard Income Distribution cum capital withdrawal option,25.398,2025-07-04
2250,128006,INF174K01VQ5,-,Kotak Medium Term Fund - Direct Growth,25.3957,2025-07-04
2251,128009,INF174K01VL6,-,Kotak Medium Term Fund - Growth,22.8458,2025-07-04
2252,128078,INF174K01VN2,INF174K01VP7,Kotak Medium Term Fund - Standard Income Distribution cum capital withdrawal option,14.0224,2025-07-04
2254,130056,INF204KA1QC8,INF204KA1QE4,NIPPON INDIA MEDIUJM DURATION FUND - QUARTERLY IDCW Option,10.8925,2025-07-04
2255,130051,INF204KA1QA2,-,Nippon India Medium Duration  Fund - Bonus Option,10.5217,2020-11-11
2256,148081,INF204KB16M9,INF204KB17M7,NIPPON INDIA MEDIUM DURATION  FUND - SEGREGATED PORTFOLIO 1 - Direct Plan - QUARTERLY IDCW Option,0.1343,2022-01-27
2257,148084,INF204KB12N6,INF204KB13N4,NIPPON INDIA MEDIUM DURATION  FUND - SEGREGATED PORTFOLIO 1 - QUARTERLY IDCW Option,0.1323,2022-01-27
2258,148283,INF204KB11R9,-,Nippon India Medium Duration  Fund - Segregated Portfolio 2 - Bonus Option,0.0,2025-07-04
2259,148284,INF204KB16Q0,INF204KB17Q8,NIPPON INDIA MEDIUM DURATION FUND -  SEGREGATED PORTFOLIO 2 - DIRECT Plan - IDCW Option,0.0,2025-07-04
2260,148289,INF204KB18Q6,INF204KB19Q4,NIPPON INDIA MEDIUM DURATION FUND -  SEGREGATED PORTFOLIO 2 - DIRECT Plan - QUARTERLY IDCW Option,0.0,2025-07-04
2261,148290,INF204KB12R7,INF204KB13R5,NIPPON INDIA MEDIUM DURATION FUND -  SEGREGATED PORTFOLIO 2 - IDCW Option,0.0,2025-07-04
2262,148287,INF204KB14R3,INF204KB15R0,NIPPON INDIA MEDIUM DURATION FUND -  SEGREGATED PORTFOLIO 2 - QUARTERLY IDCW Option,0.0,2025-07-04
2263,130052,INF204KA1QG9,-,Nippon India Medium Duration Fund - Direct Plan - Bonus Option,16.7934,2025-07-04
2264,130050,INF204KA1QF1,-,Nippon India Medium Duration Fund - Direct Plan - Growth Option,16.79,2025-07-04
2265,130054,INF204KA1QH7,INF204KA1QJ3,NIPPON INDIA MEDIUM DURATION FUND - DIRECT Plan - IDCW Option,14.1619,2025-07-04
2266,130055,INF204KA1QI5,INF204KA1QK1,NIPPON INDIA MEDIUM DURATION FUND - DIRECT Plan - QUARTERLY IDCW Option,10.9791,2025-07-04
2267,130037,INF204KA1PZ1,-,Nippon India Medium Duration Fund - Growth Option,15.5026,2025-07-04
2268,130053,INF204KA1QB0,INF204KA1QD6,NIPPON INDIA MEDIUM DURATION FUND - IDCW Option,13.2657,2025-07-04
2269,148077,INF204KB19M3,-,Nippon India Medium Duration Fund - Segregated Portfolio 1 - Bonus Option,0.1794,2022-01-27
2270,148078,INF204KB13M6,-,Nippon India Medium Duration Fund - Segregated Portfolio 1 - Direct Plan - Bonus Option,0.1888,2022-01-27
2271,148080,INF204KB18M5,-,Nippon India Medium Duration Fund - Segregated Portfolio 1 - Direct Plan - Growth Option,0.1886,2022-01-27
2272,148079,INF204KB14M4,INF204KB15M1,NIPPON INDIA MEDIUM DURATION FUND - SEGREGATED PORTFOLIO 1 - Direct Plan - IDCW Option,0.1591,2022-01-27
2273,148083,INF204KB14N2,-,Nippon India Medium Duration Fund - Segregated Portfolio 1 - Growth Option,0.1794,2022-01-27
2274,148082,INF204KB10N0,INF204KB11N8,NIPPON INDIA MEDIUM DURATION FUND - SEGREGATED PORTFOLIO 1 - IDCW Option,0.1535,2022-01-27
2275,148288,INF204KB15Q2,-,Nippon India Medium Duration Fund - Segregated Portfolio 2 - Direct Plan - Bonus Option,0.0,2025-07-04
2276,148285,INF204KB10R1,-,Nippon India Medium Duration Fund - Segregated Portfolio 2 - Direct Plan - Growth Option,0.0,2025-07-04
2277,148286,INF204KB16R8,-,Nippon India Medium Duration Fund - Segregated Portfolio 2 - Growth Option,0.0,2025-07-04
2279,119824,INF200K01VB0,-,SBI MAGNUM MEDIUM DURATION FUND - DIRECT PLAN - GROWTH,55.5609,2025-07-04
2280,119825,INF200K01UZ1,INF200K01VA2,SBI Magnum Medium Duration Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option (IDCW),21.5975,2025-07-04
2281,102053,INF200K01719,-,SBI MAGNUM MEDIUM DURATION FUND - REGULAR PLAN - GROWTH,51.4036,2025-07-04
2282,102054,INF200K01727,INF200K01735,SBI Magnum Medium Duration Fund - Regular Plan - Income Distribution cum Capital Withdrawal Option (IDCW),19.9255,2025-07-04
2284,119675,INF903J01PO6,-,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Direct Plan - Growth,77.4667,2025-07-04
2285,119676,INF903J01PH0,INF903J01PM0,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Direct Plan -Income Distribution cum Capital Withdrawal (IDCW),15.6036,2025-06-27
2286,119672,INF903J01PK4,INF903J01PL2,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Direct Plan-Income Distribution cum Capital Withdrawal (IDCW),27.2473,2025-07-04
2287,100608,INF903J01FY6,-,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Institutional Plan - Growth,75.2476,2025-01-07
2288,100603,INF903J01FQ2,-,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan - Growth,69.3712,2025-07-04
2289,100604,INF903J01FX8,-,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan -Growth,23.6242,2025-06-27
2290,100610,INF903J01FT6,INF903J01FW0,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan -Income Distribution cum Capital Withdrawal (IDCW),13.7426,2025-06-27
2291,100609,INF903J01FS8,INF903J01FV2,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan- Income Distribution cum Capital Withdrawal(IDCW),13.5927,2025-06-27
2292,100602,INF903J01FR0,INF903J01FU4,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Regular Plan-Income Distribution cum Capital Withdrawal(IDCW),13.3939,2025-07-04
2294,101703,INF277K01717,-,Tata Medium Term Fund -Regular Plan - Growth Option,29.7872,2022-09-23
2295,119126,INF277K01PG9,INF277K01PH7,Tata Medium Term Fund- Direct Plan - Payout of IDCW Option,15.2302,2022-09-23
2296,119127,INF277K01PI5,-,Tata Medium Term Fund- Direct Plan- Growth Option,32.7645,2022-09-23
2297,101605,INF277K01DW2,INF277K01709,Tata Medium Term Fund- Regular Plan - Payout of IDCW option,13.5481,2022-09-23
2299,148248,INF789F1ASC5,INF789F1ASD3,UTI - Medium Term Fund (Segregated - 06032020) - Direct Plan - Annual Dividend Option,0.0,2025-07-04
2300,148249,INF789F1ASG6,INF789F1ASH4,UTI - Medium Term Fund (Segregated - 06032020) - Direct Plan - Flexi Dividend Option,0.0,2025-07-04
2301,148257,INF789F1ASB7,-,UTI - Medium Term Fund (Segregated - 06032020) - Direct Plan - Growth Option,0.0,2025-07-04
2302,148256,INF789F1ASE1,INF789F1ASF8,UTI - Medium Term Fund (Segregated - 06032020) - Direct Plan - Half Yearly Dividend Option,0.0,2025-07-04
2303,148250,INF789F1ASI2,INF789F1ASJ0,UTI - Medium Term Fund (Segregated - 06032020) - Direct Plan - Monthly Dividend Option,0.0,2025-07-04
2304,148255,INF789F1ARZ8,INF789F1ASA9,UTI - Medium Term Fund (Segregated - 06032020) - Direct Plan - Quarterly Dividend Option,0.0,2025-07-04
2305,148247,INF789F1ASN2,INF789F1ASO0,UTI - Medium Term Fund (Segregated - 06032020) - Regular Plan - Annual Dividend Option,0.0,2025-07-04
2306,148254,INF789F1ASR3,INF789F1ASS1,UTI - Medium Term Fund (Segregated - 06032020) - Regular Plan - Flexi Dividend Option,0.0,2025-07-04
2307,148252,INF789F1ASM4,-,UTI - Medium Term Fund (Segregated - 06032020) - Regular Plan - Growth Option,0.0,2025-07-04
2308,148251,INF789F1ASP7,INF789F1ASQ5,UTI - Medium Term Fund (Segregated - 06032020) - Regular Plan - Half Yearly Dividend Option,0.0,2025-07-04
2309,148246,INF789F1AST9,INF789F1ASU7,UTI - Medium Term Fund (Segregated - 06032020) - Regular Plan - Monthly Dividend Option,0.0,2025-07-04
2310,148253,INF789F1ASK8,INF789F1ASL6,UTI - Medium Term Fund (Segregated - 06032020) - Regular Plan - Quarterly Dividend Option,0.0,2025-07-04
2311,148439,-,-,UTI - Medium Term Fund (Segregated - 07072020) - Direct  Plan - Monthly Dividend Option,0.0,2020-07-14
2312,148442,-,-,UTI - Medium Term Fund (Segregated - 07072020) - Direct Plan - Annual Dividend Option,0.0,2020-07-14
2313,148443,-,-,UTI - Medium Term Fund (Segregated - 07072020) - Direct Plan - Flexi Dividend Option,0.0,2020-07-14
2314,148441,-,-,UTI - Medium Term Fund (Segregated - 07072020) - Direct Plan - Growth Option,0.0,2020-07-14
2315,148440,-,-,UTI - Medium Term Fund (Segregated - 07072020) - Direct Plan - Half Yearly Dividend Option,0.0,2020-07-14
2316,148438,-,-,UTI - Medium Term Fund (Segregated - 07072020) - Direct Plan - Quarterly Dividend Option,0.0,2020-07-14
2317,148421,-,-,UTI - Medium Term Fund (Segregated - 07072020) - Regular Plan - Annual Dividend Option,0.0,2020-07-14
2318,148434,-,-,UTI - Medium Term Fund (Segregated - 07072020) - Regular Plan - Flexi Dividend Option,0.0,2020-07-14
2319,148433,-,-,UTI - Medium Term Fund (Segregated - 07072020) - Regular Plan - Growth Option,0.0,2020-07-14
2320,148437,-,-,UTI - Medium Term Fund (Segregated - 07072020) - Regular Plan - Half Yearly Dividend Option,0.0,2020-07-14
2321,148435,-,-,UTI - Medium Term Fund (Segregated - 07072020) - Regular Plan - Monthly Dividend Option,0.0,2020-07-14
2322,148436,-,-,UTI - Medium Term Fund (Segregated - 07072020) - Regular Plan - Quarterly Dividend Option,0.0,2020-07-14
2323,148136,INF789F1AOC4,-,UTI - Medium Term Fund (Segregated - 17022020) - Direct Plan - Growth Option,0.3663,2022-01-27
2324,148138,INF789F1AON1,-,UTI - Medium Term Fund (Segregated - 17022020) - Regular Plan - Growth Option,0.3488,2022-01-27
2325,148129,INF789F1AOD2,INF789F1AOE0,UTI Medium Term Fund ( Segregated - 17022020 ) - Direct Plan - Annual IDCW,0.2973,2022-01-27
2326,148135,INF789F1AOH3,INF789F1AOI1,UTI Medium Term Fund ( Segregated - 17022020 ) - Direct Plan - Flexi IDCW,0.2864,2022-01-27
2327,148134,INF789F1AOF7,INF789F1AOG5,UTI Medium Term Fund ( Segregated - 17022020 ) - Direct Plan - Half-Yearly IDCW,0.2895,2022-01-27
2328,148137,INF789F1AOJ9,INF789F1AOK7,UTI Medium Term Fund ( Segregated - 17022020 ) - Direct Plan - Monthly IDCW,0.2595,2022-01-27
2329,148131,INF789F1AOA8,INF789F1AOB6,UTI Medium Term Fund ( Segregated - 17022020 ) - Direct Plan - Quarterly IDCW,0.2867,2022-01-27
2330,148128,INF789F1AOO9,INF789F1AOP6,UTI Medium Term Fund ( Segregated - 17022020 ) - Regular Plan - Annual IDCW,0.2818,2022-01-27
2331,148127,INF789F1AOS0,INF789F1AOT8,UTI Medium Term Fund ( Segregated - 17022020 ) - Regular Plan - Flexi IDCW,0.2488,2022-01-27
2332,148133,INF789F1AOQ4,INF789F1AOR2,UTI Medium Term Fund ( Segregated - 17022020 ) - Regular Plan - Half-Yearly IDCW,0.2764,2022-01-27
2333,148132,INF789F1AOU6,INF789F1AOV4,UTI Medium Term Fund ( Segregated - 17022020 ) - Regular Plan - Monthly IDCW,0.2515,2022-01-27
2334,148130,INF789F1AOL5,INF789F1AOM3,UTI Medium Term Fund ( Segregated - 17022020 ) - Regular Plan - Quarterly IDCW,0.2721,2022-01-27
2335,134505,INF789FB1KL1,INF789FB1KM9,UTI Medium Duration Fund - Direct Plan - Annual IDCW,14.5705,2025-07-04
2336,134506,INF789FB1KO5,INF789FB1KN7,UTI Medium Duration Fund - Direct Plan - Flexi IDCW,15.296,2025-07-04
2337,134503,INF789FB1KE6,-,UTI Medium Duration Fund - Direct Plan - Growth Option,19.6718,2025-07-04
2338,134504,INF789FB1KJ5,INF789FB1KK3,UTI Medium Duration Fund - Direct Plan - Half-Yearly IDCW,14.7345,2025-07-04
2339,134501,INF789FB1KF3,INF789FB1KG1,UTI Medium Duration Fund - Direct Plan - Monthly IDCW,10.6729,2025-07-04
2340,134502,INF789FB1KH9,INF789FB1KI7,UTI Medium Duration Fund - Direct Plan - Quarterly IDCW,14.7188,2025-07-04
2341,134500,INF789FB1KA4,INF789FB1KB2,UTI Medium Duration Fund - Regular Plan - Annual IDCW,13.4534,2025-07-04
2342,134498,INF789FB1KC0,INF789FB1KD8,UTI Medium Duration Fund - Regular Plan - Flexi IDCW,13.551,2025-07-04
2343,134499,INF789FB1JU4,-,UTI Medium Duration Fund - Regular Plan - Growth Option,18.3428,2025-07-04
2344,134497,INF789FB1JY6,INF789FB1JZ3,UTI Medium Duration Fund - Regular Plan - Half-Yearly IDCW,13.224,2025-07-04
2345,134495,INF789FB1JV2,INF789FB1KP2,UTI Medium Duration Fund - Regular Plan - Monthly IDCW,13.2284,2025-07-04
2346,134496,INF789FB1JW0,INF789FB1JX8,UTI Medium Duration Fund - Regular Plan - Quarterly IDCW,14.1207,2025-07-04
2349,111777,INF209K01LD8,-,Aditya Birla Sun Life Income Fund (Discipline Advantage Plan),30.0154,2024-09-20
2350,133446,INF209KA1WL2,INF209KA1WM0,Aditya Birla Sun Life Income Fund - Direct - IDCW,13.479,2025-07-04
2351,119655,INF209K01R13,INF209K01WZ8,Aditya Birla Sun Life Income Fund - Direct - Quarterly IDCW,14.3588,2025-07-04
2352,119657,INF209K01WY1,-,Aditya Birla Sun Life Income Fund - Growth - Direct Plan,135.6598,2025-07-04
2353,100038,INF209K01579,-,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,125.7892,2025-07-04
2354,133445,INF209KA1WJ6,INF209KA1WK4,Aditya Birla Sun Life Income Fund - Regular - IDCW,12.6464,2025-07-04
2355,100037,INF209K01587,INF209K01CY3,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,13.3724,2025-07-04
2357,108766,INF194K01IN7,INF194K01IM9,BANDHAN Bond Fund - Income Plan - Regular Plan - Annual IDCW,11.7213,2025-07-04
2358,108765,INF194K01IL1,-,BANDHAN Bond Fund - Income Plan - Regular Plan - Growth,64.6849,2025-07-04
2359,108763,INF194K01IQ0,INF194K01IP2,BANDHAN Bond Fund - Income Plan - Regular Plan - Half-yearly IDCW,11.9521,2025-07-04
2360,131387,INF194KA1SU8,INF194KA1SV6,BANDHAN Bond Fund - Income Plan - Regular Plan - Periodic IDCW,13.8828,2025-07-04
2361,108764,INF194K01IT4,INF194K01IS6,BANDHAN Bond Fund - Income Plan - Regular Plan - Quarterly IDCW,12.0516,2025-07-04
2362,118393,INF194K01R77,INF194K01R69,BANDHAN Bond Fund - Income Plan-Direct Plan-Annual IDCW,16.0562,2025-07-04
2363,118394,INF194K01R51,-,BANDHAN Bond Fund - Income Plan-Direct Plan-Growth,70.7744,2025-07-04
2364,118395,INF194K01S01,INF194K01R93,BANDHAN Bond Fund - Income Plan-Direct Plan-Half Yearly IDCW,12.8658,2025-07-04
2365,131386,INF194KA1SX2,INF194KA1SY0,BANDHAN Bond Fund - Income Plan-Direct Plan-Periodic IDCW,17.207,2025-07-04
2366,118396,INF194K01S35,INF194K01S27,BANDHAN Bond Fund - Income Plan-Direct Plan-Quarterly IDCW,12.62,2025-07-04
2367,108768,INF194K01HF5,-,BANDHAN Bond Fund - Short Term - Regular Plan - Growth,57.5066,2025-07-04
2368,108767,INF194K01HH1,INF194K01HG3,BANDHAN Bond Fund - Short Term - Regular Plan - Monthly IDCW,10.3856,2025-07-04
2370,119395,INF761K01850,INF761K01843,BANK OF INDIA Conservative Hybrid  Fund-Direct Plan-Quarterly IDCW,18.1071,2025-07-04
2371,111718,INF761K01439,INF761K01421,BANK OF INDIA Conservative Hybrid  Fund-ECO Plan-Quarterly IDCW,10.3674,2021-01-01
2372,119393,INF761K01819,-,BANK OF INDIA Conservative Hybrid Fund Fund-Direct Plan-Growth,36.8488,2025-07-04
2373,119396,INF761K01793,INF761K01801,BANK OF INDIA Conservative Hybrid Fund-Direct Plan-Annual IDCW,16.7929,2025-07-04
2374,119394,INF761K01835,INF761K01827,BANK OF INDIA Conservative Hybrid Fund-Direct Plan-Monthly IDCW,16.4164,2025-07-04
2375,111715,INF761K01397,-,BANK OF INDIA Conservative Hybrid Fund-ECO Plan-Growth,35.6526,2025-07-04
2376,111717,INF761K01413,INF761K01405,BANK OF INDIA Conservative Hybrid Fund-ECO Plan-Monthly IDCW,27.003,2025-07-04
2377,111714,INF761K01454,INF761K01447,BANK OF INDIA Conservative Hybrid Fund-Regular Plan-Annual IDCW,16.7183,2025-07-04
2378,111712,INF761K01462,-,BANK OF INDIA Conservative Hybrid Fund-Regular Plan-Growth,34.4398,2025-07-04
2379,111716,INF761K01488,INF761K01470,BANK OF INDIA Conservative Hybrid Fund-Regular Plan-Monthly IDCW,17.731,2025-07-04
2380,111713,INF761K01504,INF761K01496,BANK OF INDIA Conservative Hybrid Fund-Regular Plan-Quarterly IDCW,18.3776,2025-07-04
2382,118282,INF760K01FI1,-,CANARA ROBECO INCOME FUND - DIRECT PLAN - GROWTH OPTION,62.1852,2025-07-04
2383,118281,INF760K01FG5,INF760K01FH3,CANARA ROBECO INCOME FUND - DIRECT PLAN - QUARTERLY IDCW (Payout/Reinvestment),17.0847,2025-07-04
2384,101588,INF760K01324,-,CANARA ROBECO INCOME FUND - REGULAR PLAN - GROWTH OPTION,55.4504,2025-07-04
2385,101587,INF760K01340,INF760K01357,CANARA ROBECO INCOME FUND - REGULAR PLAN - QUARTERLY IDCW (Payout/Reinvestment),15.0067,2025-07-04
2387,152852,INF090I01XH2,INF090I01XI0,Franklin India Medium to Long Duration Fund - Direct - IDCW,10.6201,2025-07-04
2388,152851,INF090I01XG4,-,Franklin India Medium to Long Duration Fund - Direct Growth,10.7403,2025-07-04
2389,152853,INF090I01XD1,-,Franklin India Medium to Long Duration Fund - Growth,10.6971,2025-07-04
2390,152854,INF090I01XE9,INF090I01XF6,Franklin India Medium to Long Duration Fund - IDCW,10.577,2025-07-04
2392,100124,INF179K01962,-,HDFC Income Fund - Growth Option,58.4333,2025-07-04
2393,119069,INF179K01WL3,-,HDFC Income Fund - Growth Option - Direct Plan,64.6398,2025-07-04
2394,133365,INF179KA1Q12,-,HDFC Income Fund - Normal IDCW - Direct Plan,20.4419,2025-07-04
2395,133366,INF179KA1Q38,-,HDFC Income Fund - Normal IDCW Option,18.4276,2025-07-04
2396,100123,INF179K01947,INF179K01954,HDFC Income Fund - Quarterly IDCW Option,11.4633,2025-07-04
2397,119068,INF179K01WJ7,INF179K01WK5,HDFC Income Fund - Quarterly IDCW- Direct Plan,12.8112,2025-07-04
2399,120059,INF336L01DE2,-,HSBC Medium to Long Duration Fund - Direct Growth,47.1534,2025-07-04
2400,120101,INF336L01EO9,INF336L01EP6,HSBC Medium to Long Duration Fund - Direct Quarterly IDCW,10.7842,2025-07-04
2401,101685,INF336L01776,-,HSBC Medium to Long Duration Fund - Regular Growth,42.256,2025-07-04
2402,101686,INF336L01784,INF336L01792,HSBC Medium to Long Duration Fund - Regular Quarterly IDCW,10.7662,2025-07-04
2404,130932,INF109KA1C72,-,ICICI Prudential Bond Fund - Bonus,12.4602,2018-07-02
2405,120619,INF109K01V83,-,ICICI Prudential Bond Fund - Direct Plan - Growth,42.8326,2025-07-04
2406,131480,INF109KA1X77,INF109KA1X69,ICICI Prudential Bond Fund - Direct Plan - Half Yearly IDCW,11.1327,2025-07-04
2407,120617,INF109K01V59,INF109K01V67,ICICI Prudential Bond Fund - Direct Plan - IDCW Monthly,11.4978,2025-07-04
2408,120618,INF109K01V75,INF109K01V91,ICICI Prudential Bond Fund - Direct Plan - IDCW Quarterly,11.7843,2025-07-04
2409,109740,INF109K01BO8,-,ICICI Prudential Bond Fund - Growth,40.4425,2025-07-04
2410,131481,INF109KA1X51,INF109KA1X44,ICICI Prudential Bond Fund - Half Yearly IDCW,11.4605,2025-07-04
2411,109741,INF109K01EU9,INF109K01BP5,ICICI Prudential Bond Fund - IDCW Monthly,11.2859,2025-07-04
2412,109743,INF109K01EV7,INF109K01BS9,ICICI Prudential Bond Fund - IDCW Quarterly,11.4038,2025-07-04
2413,109742,INF109K01BQ3,-,ICICI Prudential Bond Fund- Institutional Growth,25.0654,2020-04-24
2414,109744,INF109K01ES3,INF109K01BR1,ICICI Prudential Bond Fund- Institutional Monthly Dividend,10.6444,2020-04-24
2415,109745,INF109K01ET1,INF109K01BT7,ICICI Prudential Bond Fund- Institutional Quarterly Dividend,11.4294,2020-04-24
2417,120428,INF192K01CX3,-,JM Medium to Long Duration Fund (Direct) - Bonus Option - Principal Units,28.556,2025-01-27
2418,120430,INF192K01CW5,-,JM Medium to Long Duration Fund (Direct) - Growth Option,69.7303,2025-07-04
2419,120431,INF192K01CU9,INF192K01CV7,JM Medium to Long Duration Fund (Direct) - Quarterly IDCW,24.6397,2025-07-04
2420,100223,INF192K01AB3,-,JM Medium to Long Duration Fund (Regular) - Growth Option,62.5783,2025-07-04
2421,100222,INF192K01999,INF192K01AA5,JM Medium to Long Duration Fund (Regular) - Quarterly IDCW,21.277,2025-07-04
2422,101181,INF192K01AC1,-,JM Medium to Long Duration Fund (Regular) - Bonus Option- Principal Units,25.6026,2025-07-04
2424,119734,INF174K01JD8,-,Kotak Bond Fund - Direct Plan - Standard IDCW option,28.7971,2025-07-04
2425,119735,INF174K01JC0,-,Kotak Bond Fund - Growth - Direct,86.5214,2025-07-04
2426,100300,INF174K01EQ1,INF174K01EP3,Kotak Bond Fund - Regular Plan - Standard IDCW Option,47.2049,2025-07-04
2427,100299,INF174K01EM0,-,Kotak Bond Fund - Regular Plan Growth,77.0479,2025-07-04
2428,100291,INF174K01EK4,INF174K01EL2,Kotak Bond-Deposit-Dividend,13.6554,2016-10-21
2429,100292,INF174K01EJ6,-,Kotak Bond-Deposit-Growth,42.9354,2016-10-21
2431,151990,INF397L01GD9,-,LIC MF Medium to Long Duration Fund-Direct Plan-Annual IDCW,18.9599,2025-07-04
2432,120279,INF767K01EW0,-,LIC MF Medium to Long Duration Fund-Direct Plan-Growth,78.474,2025-07-04
2433,120278,INF767K01EV2,INF767K01EX8,LIC MF Medium to Long Duration Fund-Direct Plan-IDCW,18.9599,2025-07-04
2434,151988,INF397L01GA5,-,LIC MF Medium to Long Duration Fund-Direct Plan-Quarterly IDCW,18.9601,2025-07-04
2435,151989,INF397L01FX9,-,LIC MF Medium to Long Duration Fund-Regular Plan-Annual IDCW,15.9602,2025-07-04
2436,100315,INF767K01923,-,LIC MF Medium to Long Duration Fund-Regular Plan-Growth,72.8131,2025-07-04
2437,100314,INF767K01907,INF767K01915,LIC MF Medium to Long Duration Fund-Regular Plan-IDCW,15.9603,2025-07-04
2438,151986,INF397L01FU5,-,LIC MF Medium to Long Duration Fund-Regular Plan-Quarterly IDCW,15.9602,2025-07-04
2440,100386,INF204K01CT4,INF204K01CU2,NIPPON INDIA MEDIUM TO LONG DURATION  FUND - ANNUAL IDCW Option,13.0881,2025-07-04
2441,118680,INF204K01YT8,INF204K01YU6,NIPPON INDIA MEDIUM TO LONG DURATION  FUND - Direct Plan - ANNUAL IDCW Option,14.3775,2025-07-04
2442,118681,INF204K01YR2,INF204K01YS0,NIPPON INDIA MEDIUM TO LONG DURATION  FUND - Direct Plan - HALF YEARLY IDCW Option,13.7293,2025-07-04
2443,118683,INF204K01YN1,-,NIPPON INDIA MEDIUM TO LONG DURATION  FUND - Direct Plan - MONTHLY IDCW Option,11.4066,2025-07-04
2444,118679,INF204K01F38,-,Nippon India Medium to Long Duration  Fund - Direct Plan Growth Plan-Bonus Option,28.6932,2025-07-04
2445,100388,INF204K01CM9,-,Nippon India Medium to Long Duration  Fund - Growth Plan Bonus Option,25.8119,2025-07-04
2446,100387,INF204K01CL1,-,Nippon India Medium to Long Duration  Fund - Growth Plan Growth Option,89.7825,2025-07-04
2447,100385,INF204K01CR8,INF204K01CS6,NIPPON INDIA MEDIUM TO LONG DURATION  FUND - HALF YEARLY IDCW Option,12.7409,2025-07-04
2448,100384,INF204K01CP2,INF204K01CQ0,NIPPON INDIA MEDIUM TO LONG DURATION  FUND - QUARTERLY IDCW Option,13.149,2025-07-04
2449,118684,INF204K01YP6,INF204K01YQ4,NIPPON INDIA MEDIUM TO LONG DURATION FUND - Direct Plan - QUARTERLY IDCW Option,13.8628,2025-07-04
2450,118687,INF204K01XS2,-,Nippon India Medium to Long Duration Fund - Direct Plan Growth Plan - Growth Option,100.4108,2025-07-04
2451,100383,INF204K01CN7,INF204K01CO5,NIPPON INDIA MEDIUM TO LONG DURATION FUND - MONTHLY IDCW Option,10.7398,2025-07-04
2453,119713,INF200K01SP6,INF200K01SQ4,SBI Magnum Income Fund - Direct Plan - Half Yearly - Income Distribution cum Capital Withdrawal Option (IDCW),21.7147,2025-07-04
2454,121940,INF200K01YS8,INF200K01YT6,SBI Magnum Income Fund - Direct Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW),22.2306,2025-07-04
